2024-12-30 18:16:31,664 - INFO - [Train] Using device: cuda
2024-12-30 18:16:31,666 - INFO - [Train] Dataset => max_length: 3000, sr: 44100, n_fft: 2048, hop_length: 512, total_files: 100
2024-12-30 18:16:31,666 - INFO - [Train] Dataset => max_length: 3000, sr: 44100, n_fft: 2048, hop_length: 512, total_files: 100
2024-12-30 18:16:31,667 - INFO - [Eval] Dataset => max_length: 3000, sr: 44100, n_fft: 2048, hop_length: 512, total_files: 50
2024-12-30 18:16:33,452 - INFO - [Train] Starting => Batch_size=2, LR=1e-05, Epochs=10
2024-12-30 18:16:33,452 - INFO - [Train] Epoch 1/10 started.
2024-12-30 18:17:39,573 - INFO - [Train] Epoch 1, Batch 1: Loss=0.039700
2024-12-30 18:17:40,118 - INFO - [Train] Epoch 1, Batch 2: Loss=0.029610
2024-12-30 18:17:40,614 - INFO - [Train] Epoch 1, Batch 3: Loss=0.059525
2024-12-30 18:17:41,150 - INFO - [Train] Epoch 1, Batch 4: Loss=0.054682
2024-12-30 18:17:41,629 - INFO - [Train] Epoch 1, Batch 5: Loss=0.039703
2024-12-30 18:17:42,116 - INFO - [Train] Epoch 1, Batch 6: Loss=0.035918
2024-12-30 18:17:42,611 - INFO - [Train] Epoch 1, Batch 7: Loss=0.037456
2024-12-30 18:17:43,143 - INFO - [Train] Epoch 1, Batch 8: Loss=0.039203
2024-12-30 18:17:51,674 - INFO - [Train] Epoch 1, Batch 9: Loss=0.056396
2024-12-30 18:17:55,761 - INFO - [Train] Epoch 1, Batch 10: Loss=0.056100
2024-12-30 18:17:56,263 - INFO - [Train] Epoch 1, Batch 11: Loss=0.042186
2024-12-30 18:17:56,803 - INFO - [Train] Epoch 1, Batch 12: Loss=0.029435
2024-12-30 18:17:57,312 - INFO - [Train] Epoch 1, Batch 13: Loss=0.051614
2024-12-30 18:17:57,856 - INFO - [Train] Epoch 1, Batch 14: Loss=0.029432
2024-12-30 18:17:58,389 - INFO - [Train] Epoch 1, Batch 15: Loss=0.062136
2024-12-30 18:17:58,862 - INFO - [Train] Epoch 1, Batch 16: Loss=0.061533
2024-12-30 18:18:16,359 - INFO - [Train] Epoch 1, Batch 17: Loss=0.036150
2024-12-30 18:18:16,857 - INFO - [Train] Epoch 1, Batch 18: Loss=0.045243
2024-12-30 18:18:17,414 - INFO - [Train] Epoch 1, Batch 19: Loss=0.043030
2024-12-30 18:18:18,015 - INFO - [Train] Epoch 1, Batch 20: Loss=0.050538
2024-12-30 18:18:18,906 - INFO - [Train] Epoch 1, Batch 21: Loss=0.060846
2024-12-30 18:18:19,434 - INFO - [Train] Epoch 1, Batch 22: Loss=0.034717
2024-12-30 18:18:19,999 - INFO - [Train] Epoch 1, Batch 23: Loss=0.037617
2024-12-30 18:18:20,572 - INFO - [Train] Epoch 1, Batch 24: Loss=0.053842
2024-12-30 18:18:30,370 - INFO - [Train] Epoch 1, Batch 25: Loss=0.055815
2024-12-30 18:18:30,856 - INFO - [Train] Epoch 1, Batch 26: Loss=0.066106
2024-12-30 18:18:31,328 - INFO - [Train] Epoch 1, Batch 27: Loss=0.051259
2024-12-30 18:18:44,081 - INFO - [Train] Epoch 1, Batch 28: Loss=0.062461
2024-12-30 18:18:44,612 - INFO - [Train] Epoch 1, Batch 29: Loss=0.062293
2024-12-30 18:18:45,111 - INFO - [Train] Epoch 1, Batch 30: Loss=0.067871
2024-12-30 18:18:45,572 - INFO - [Train] Epoch 1, Batch 31: Loss=0.055188
2024-12-30 18:18:46,043 - INFO - [Train] Epoch 1, Batch 32: Loss=0.035681
2024-12-30 18:18:46,508 - INFO - [Train] Epoch 1, Batch 33: Loss=0.142583
2024-12-30 18:18:54,220 - INFO - [Train] Epoch 1, Batch 34: Loss=0.029347
2024-12-30 18:18:54,769 - INFO - [Train] Epoch 1, Batch 35: Loss=0.048020
2024-12-30 18:19:10,576 - INFO - [Train] Epoch 1, Batch 36: Loss=0.049475
2024-12-30 18:19:11,087 - INFO - [Train] Epoch 1, Batch 37: Loss=0.041690
2024-12-30 18:19:11,587 - INFO - [Train] Epoch 1, Batch 38: Loss=0.053036
2024-12-30 18:19:12,129 - INFO - [Train] Epoch 1, Batch 39: Loss=0.055486
2024-12-30 18:19:12,613 - INFO - [Train] Epoch 1, Batch 40: Loss=0.050390
2024-12-30 18:19:13,087 - INFO - [Train] Epoch 1, Batch 41: Loss=0.034182
2024-12-30 18:19:13,572 - INFO - [Train] Epoch 1, Batch 42: Loss=0.052339
